Polsk,Norsk
samo,seg selv
były,tidligere
dobre,flink
słuchaj,lytte
koniec,slutten
chciał,han ønsket
widziałem,jeg så
jakie,hva
wszystkim,alle
znam,Jeg vet
wcześniej,Tidligere
spokój,sinnsro
chwilę,øyeblikk
mama,mamma
sobą,oss
zostać,oppholde seg
został,venstre
wy,du
czegoś,noe
żyje,er i live
mówić,snakke
bym,det ville
którzy,WHO
porozmawiać,snakke
spójrz,se
roku,år
mogą,kan
chciałbym,Jeg vil gjerne
zabić,drepe
poza,bortsett fra
dom,Hus
we,i
imię,Navn
twojego,Din
lub,eller
och,Åh
miło,hyggelig
którą,hvilken
kogo,hvem
sir,Herr
minut,minutter
jakby,som om
prawie,nesten
drzwi,dør
byłam,jeg var
jesteście,du er
posłuchaj,lytte
powiedziałem,jeg sa
powodu,grunnen til
powinniśmy,vi burde
gdzieś,et sted
końcu,slutt
lubię,jeg liker
mów,si
sprawy,saker
czekaj,vente
pomysł,idé
zrobię,jeg vil gjøre
wiemy,Vi vet
wydaje,bruker
byłeś,du var
razy,ganger
moich,min
człowiek,menneskelig
jednak,men
innego,en annen
dość,nok
pomocy,hjelp
przecież,ennå
panu,Lord
broń,våpen
żadnych,Nei
noc,natt
macie,du har
ciągle,Fortsatt
c,c
żebym,at jeg ville gjort
źle,dårlig
powiedziała,hun sa
facet,fyr
mówiłem,jeg sa
którego,hvem sin
podoba,som
miejscu,plass
jeżeli,hvis
skoro,siden
ego,Ego
ojca,far
powinieneś,du burde
lata,år
sprawa,ting
niczego,ingenting
takim,slik
pamiętasz,Husker du
sądzę,jeg tror
właściwie,faktisk
dwie,to
pokoju,rom
którym,hvilken
myślałam,jeg tenkte
jedno,en
idziemy,Vi skal
również,også
bądź,være
znasz,du vet
swój,din
swojego,av sitt eget
byś,at
chodźmy,la oss gå
nowy,ny
chciałam,jeg ville
pewien,en
wczoraj,i går
jedną,en
musiał,han måtte
której,hvilken
idę,jeg går
poważnie,alvor
swoim,hans egen
życiu,liv
rozumiesz,du forstår
których,hvem sin
podczas,under
miałam,jeg hadde
oczy,øyne
rano,om morgenen
sprawę,sak
wystarczy,nok
spokojnie,slappe av
całą,hel
telefon,Telefon
rzecz,punkt
matka,mor
samochód,bil
świat,verden
nimi,dem
dwóch,to
pracę,arbeid
dać,å gi
byli,var
powinienem,jeg burde
weź,ta
jedna,en
zamknij,Lukk
the,de
mały,liten
da,da
pozwól,la
całe,alle
wina,feil
wiedziałem,jeg visste
wrócić,kom tilbake
między,mellom
chcą,de vil ha
idzie,går
śmierci,død
mówił,han snakket
numer,Antall
oto,her
miejsca,plass
dopóki,så lenge som
czujesz,du føler deg
cokolwiek,samme det
swojej,av sitt eget
nikogo,ingen
dam,gutt
powiedziałeś,du sa
tłumaczenie,oversettelse
dziewczyna,pike
najpierw,først
pamiętam,jeg husker
powiesz,vil du si
pytanie,spørsmål
inaczej,ellers
świecie,verden
znów,en gang til
wyglądasz,du ser
